Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Scope,13/04/2021,07/01/2021,96,68660,80733,1,0.18
Design,07/06/2021,29/11/2021,175,343300,402119,1,0.17
Scope,22/06/2023,07/06/2023,15,4240,2631,0,-0.38
Design,07/06/2023,13/12/2023,189,19080,10525,0,-0.45
Construction,27/05/2024,05/12/2025,557,245920,220616,0,-0.10
Scope,22/04/2021,21/12/2021,243,195550,194643,0,0.00
Design,22/12/2021,16/09/2022,268,977750,623331,0,-0.36
Scope,25/06/2020,21/07/2020,26,3482,4450,1,0.28
Design,21/07/2020,30/03/2021,252,15667,17800,1,0.14
Scope,30/04/2021,22/07/2021,83,21570,43621,1,1.02
Design,08/02/2021,02/01/2022,328,107850,203915,1,0.89
Scope,16/05/2022,08/02/2022,97,53927,80484,1,0.49
Design,08/08/2022,05/08/2023,362,259893,210342,0,-0.19
Scope,14/03/2024,18/11/2024,249,38009,82056,1,1.16
Scope,01/03/2025,05/01/2025,55,3171,282,0,-0.91
Scope,04/09/2019,20/09/2019,16,22622,12222,0,-0.46
Design,23/10/2019,06/08/2020,288,113110,147459,1,0.30
Scope,14/05/2024,31/10/2024,170,108090,225361,1,1.08
Design,15/11/2024,08/05/2025,174,499581,316122,0,-0.37
Scope,07/07/2022,27/07/2022,20,3838,2363,0,-0.38
Design,27/07/2022,21/09/2022,56,17271,9450,0,-0.45
Design,12/04/2020,01/02/2024,1390,178125,184435,1,0.04
Scope,01/07/2021,15/06/2021,16,39541,133705,1,2.38
Design,15/07/2021,21/04/2022,280,186049,199027,1,0.07
Scope,08/04/2021,02/02/2022,300,137659,196776,1,0.43
Design,06/01/2022,05/12/2023,698,673898,317830,0,-0.53
Scope,13/03/2025,04/07/2025,113,4500,466,0,-0.90
Design,04/07/2025,26/08/2025,53,17998,1863,0,-0.90
Scope,23/10/2018,18/01/2019,87,371325,171452,0,-0.54
Design,22/01/2019,17/05/2019,115,1485298,856204,0,-0.42
Scope,03/12/2025,04/03/2025,274,5074,857,0,-0.83
Design,04/03/2025,26/08/2025,175,20297,3428,0,-0.83
Scope,24/01/2018,19/05/2021,1211,15710,29906,1,0.90
Design,07/07/2021,03/03/2022,239,62520,105561,1,0.69
Scope,07/11/2022,28/07/2022,102,5326,2660,0,-0.50
Design,28/07/2022,21/09/2022,55,23966,10640,0,-0.56
Scope,24/10/2018,18/01/2019,86,504775,559392,1,0.11
Design,22/01/2019,16/09/2022,1333,2518835,2479115,0,-0.02
Scope,07/06/2022,22/07/2022,45,4336,4223,0,-0.03
Design,22/07/2022,21/09/2022,61,19513,17729,0,-0.09
Scope,22/05/2020,19/08/2020,89,86400,160902,1,0.86
Design,09/01/2020,04/06/2021,512,432000,400317,0,-0.07
Scope,22/06/2023,26/03/2024,278,191488,232865,1,0.22
Design,17/04/2024,15/04/2025,363,890605,477704,0,-0.46
Scope,10/12/2018,01/03/2019,81,373649,159120,0,-0.57
Design,01/03/2019,14/05/2019,74,1494600,1208523,0,-0.19
Scope,22/01/2024,22/01/2024,1,4537,2370,0,-0.48
Design,21/03/2024,13/08/2024,145,20414,9479,0,-0.54
Scope,14/02/2019,29/10/2019,257,113406,3434,0,-0.97
Design,25/11/2019,22/03/2022,848,559432,387070,0,-0.31
Construction,15/08/2022,06/11/2025,1179,11930288,10674084,0,-0.11
Scope,26/02/2024,20/03/2024,23,3455,1558,0,-0.55
Design,20/03/2024,13/08/2024,146,15545,6231,0,-0.60
Scope,26/06/2023,07/06/2023,19,4065,1693,0,-0.58
Design,07/06/2023,18/10/2023,133,18290,6774,0,-0.63
Scope,20/06/2024,07/02/2025,232,66640,172295,1,1.59
Scope,28/03/2024,16/04/2024,19,5020,2057,0,-0.59
Design,16/04/2024,25/09/2024,162,22590,8228,0,-0.64
Scope,06/06/2022,09/07/2022,33,6015,5746,0,-0.04
